year,date,time,latitude,longitude,depth,surface_wave_magnitude,abe_magnitude,intensity,max_height,moment_magnitude,available_observations,damage_code,cause,validity,warning_status,region_code,basic_reference,source_region
1937,20 Aug,11:59:21,14.58,121.68,15,7.5,N/A,N/A,N/A,1.4,0,S,E,3,N/A,PHI,WWT,Philippine Fault
1937,21 Sep,21:02:41,55.28,161.98,58,5.7,N/A,1.0,N/A,N/A,0,0,U,2,N/A,K-K,SOL,Kamchatka
1938,01 Feb,19:04:22,-5.05,131.61,25,8.2,N/A,1.5,N/A,2.0,0,0,E,4,N/A,IND,WWT,Banda Sea
1938,29 Feb,00:00:00,62.35,6.95,N/A,N/A,N/A,2.0,N/A,N/A,0,0,L,4,N/A,NEA,GTC,Western Norway
1938,06 Mar,01:56:27,-4.12,153.69,48,N/A,N/A,-2.0,0.1,N/A,1,N,E,1,N/A,NGS,LLO,SOLOMON IS.
1938,22 Mar,15:22:17,52.29,-132.61,10,6.3,N/A,N/A,N/A,N/A,0,0,E,0,N/A,A-A,LLK,"British Columbia, Canada"
1938,12 May,15:39:06,-6.15,147.63,35,7.5,N/A,1.0,2.0,N/A,1,S,E,3,N/A,NGS,EV1,New Guinea
1938,19 May,00:00:00,N/A,N/A,N/A,N/A,N/A,1.5,N/A,N/A,0,M,E,0,N/A,MED,WWT,N/A
1938,19 May,17:08:41,-0.56,118.88,35,7.9,N/A,1.5,3.0,N/A,2,M,E,0,N/A,IND,LLO,N.Molucca Islands.Indonesia
1938,23 May,07:18:30,36.52,141.49,15,7.6,7.5,0.0,0.8,-1.0,5,N,E,4,N/A,JAP,IID,"Off Shioya,Fukushima. Japan"
1938,28 May,16:42:01,43.34,144.75,9,6.0,N/A,-1.0,N/A,0.0,1,S,E,4,N/A,JAP,IID,"Lake Kucharo,E.Hokkaido. Japan"
1938,10 Jun,09:53:43,25.14,125.27,20,7.7,N/A,0.0,1.5,1.0,1,S,E,4,N/A,JAP,IID,"Miyakojima,Ryukyu Trench.Japan"
1938,21 Sep,00:00:00,40.0,-74.0,N/A,N/A,N/A,2.5,N/A,N/A,0,L,M,3,N/A,NWA,LWL,New Jersy coast
1938,10 Oct,20:48:07,2.38,126.59,15,7.3,N/A,-2.0,0.1,N/A,2,N,E,4,N/A,IND,PDE,INDONEZIA
1938,05 Nov,08:43:24,36.97,142.091,35,7.7,7.6,0.0,1.1,0.0,15,S,E,4,N/A,JAP,IID,"Off Fukushima,Sanriku.Japan"
1938,05 Nov,10:50:18,37.17,142.22,35,7.7,7.6,N/A,N/A,N/A,0,0,E,4,N/A,JAP,IID,Japan
